proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub
SYN\SYN082-1.spass,1,15,5,15,5,94659,0.0,0.0,0.0,0.0,0
SWV\SWV256-2.spass,1,5,2,5,2,42560,0.0,0.0,0.0,0.0,0
COL\COL116-2.spass,1,3,1,3,1,35589,0.0,0.0,0.0,0.0,0
COL\COL101-2.spass,1,3,1,3,1,38158,0.0,0.0,0.0,0.0,0
SYN\SYN681-1.spass,1,14,7,14,7,88056,0.0,0.0,0.0,0.0,0
SET\SET588+3.spass,1,22,11,22,11,206197,0.0,0.0,0.0,0.0,0
LCL\LCL430-2.spass,1,17,9,17,9,656747,0.0,0.0,0.0,0.0,0
LCL\LCL443-2.spass,1,17,9,17,9,205462,0.0,0.0,0.0,0.0,0
SYN\SYN569-1.spass,1,31,20,43,18,24599018,-0.3870967741935484,-4.878243513623186E-7,0.06451612903225806,8.130405856038643E-8,13
SYN\SYN554-1.spass,1,21,13,30,11,38486826,-0.42857142857142855,-2.338462517018161E-7,0.09523809523809523,5.196583371151469E-8,9
SWV\SWV283-2.spass,1,14,6,20,5,16177984,-0.42857142857142855,-3.7087439324949264E-7,0.07142857142857142,6.181239887491544E-8,6
SWV\SWV270-2.spass,1,18,9,18,9,746637,0.0,0.0,0.0,0.0,0
SWV\SWV240-2.spass,1,12,5,12,5,122911,0.0,0.0,0.0,0.0,0
SEU\SEU264+1.spass,1,12,6,16,5,2691927,-0.3333333333333333,-1.4859243954237987E-6,0.08333333333333333,3.7148109885594966E-7,4
SWB\SWB024+2.spass,1,24,12,24,12,167672,0.0,0.0,0.0,0.0,0
SYN\SYN596-1.spass,1,13,6,13,6,115573,0.0,0.0,0.0,0.0,0
SYN\SYN594-1.spass,1,23,12,23,12,425234,0.0,0.0,0.0,0.0,0
SYN\SYN079+1.spass,1,7,3,7,3,53567,0.0,0.0,0.0,0.0,0
SET\SET818-2.spass,1,3,1,3,1,34855,0.0,0.0,0.0,0.0,0
RNG\RNG038-2.spass,1,12,6,16,5,3164858,-0.3333333333333333,-1.2638797696452732E-6,0.08333333333333333,3.159699424113183E-7,4
LAT\LAT272-2.spass,1,7,3,7,3,63473,0.0,0.0,0.0,0.0,0
SYN\SYN338-1.spass,1,3,1,3,1,27150,0.0,0.0,0.0,0.0,0
LAT\LAT271-2.spass,1,7,3,7,3,72645,0.0,0.0,0.0,0.0,0
SYN\SYN678-1.spass,1,14,7,14,7,97228,0.0,0.0,0.0,0.0,0
SWV\SWV364-2.spass,1,9,4,9,4,88056,0.0,0.0,0.0,0.0,0
SWV\SWV293-2.spass,1,20,11,30,10,21970930,-0.5,-4.55146869067445E-7,0.05,4.55146869067445E-8,10
SYN\SYN730+1.spass,1,4,2,4,2,2024174,0.0,0.0,0.0,0.0,0
SWV\SWV265-2.spass,1,5,2,5,2,65674,0.0,0.0,0.0,0.0,0
SYN\SYN333-1.spass,1,9,6,9,6,1122706,0.0,0.0,0.0,0.0,0
MGT\MGT036-2.spass,0,26,15,-1,-1,-1,-1,-1,-1,-1,-1
SWV\SWV263-2.spass,1,9,4,9,4,124012,0.0,0.0,0.0,0.0,0
MGT\MGT007-1.spass,1,49,27,57,23,145694677,-0.16326530612244897,-5.490934991399857E-8,0.08163265306122448,2.7454674956999286E-8,14
SWB\SWB019+2.spass,1,7,3,7,3,51733,0.0,0.0,0.0,0.0,0
SYN\SYN660-1.spass,1,14,7,14,7,88056,0.0,0.0,0.0,0.0,0
SWV\SWV292-2.spass,1,34,18,47,16,127213310,-0.38235294117647056,-1.0219056480803777E-7,0.058823529411764705,1.5721625355082736E-8,14
SET\SET055-6.spass,1,9,3,9,3,60905,0.0,0.0,0.0,0.0,0
SWV\SWV264-2.spass,1,5,2,5,2,34488,0.0,0.0,0.0,0.0,0
COL\COL124-2.spass,1,6,2,6,2,68976,0.0,0.0,0.0,0.0,0
COL\COL122-2.spass,1,5,2,5,2,52833,0.0,0.0,0.0,0.0,0
TOP\TOP004-2.spass,1,3,1,3,1,26050,0.0,0.0,0.0,0.0,0
SYN\SYN589-1.spass,1,7,3,7,3,94659,0.0,0.0,0.0,0.0,0
SWV\SWV290-2.spass,1,21,11,30,10,7124051,-0.42857142857142855,-1.2633261609160294E-6,0.047619047619047616,1.4036957343511438E-7,9
PUZ\PUZ008-3.spass,1,49,31,49,31,1321565,0.0,0.0,0.0,0.0,0
SYN\SYN719-1.spass,1,17,8,17,8,138320,0.0,0.0,0.0,0.0,0
MGT\MGT004-1.spass,0,47,29,-1,-1,-1,-1,-1,-1,-1,-1
SWV\SWV349-2.spass,1,3,1,3,1,41093,0.0,0.0,0.0,0.0,0
SYN\SYN731-1.spass,1,3,1,3,1,26784,0.0,0.0,0.0,0.0,0
SWV\SWV333-2.spass,1,3,1,3,1,30452,0.0,0.0,0.0,0.0,0
SWV\SWV305-2.spass,1,30,16,40,15,193228831,-0.3333333333333333,-5.175211146415309E-8,0.03333333333333333,5.175211146415309E-9,13
SET\SET826-2.spass,1,7,3,7,3,52467,0.0,0.0,0.0,0.0,0
PLA\PLA003-1.spass,1,15,7,15,7,139054,0.0,0.0,0.0,0.0,0
SYN\SYN687-1.spass,1,14,6,15,5,16344555,-0.07142857142857142,-6.11824549521232E-8,0.07142857142857142,6.11824549521232E-8,2
SYN\SYN685-1.spass,1,14,7,14,7,87689,0.0,0.0,0.0,0.0,0
LCL\LCL447-2.spass,1,7,3,7,3,74480,0.0,0.0,0.0,0.0,0
LCL\LCL432-2.spass,1,5,2,5,2,34121,0.0,0.0,0.0,0.0,0
