proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,totalTime
LAT\LAT272-2.spass,1,7,3,7,3,1287783,0.0,0.0,0.0,0.0,0,2331951
SYN\SYN338-1.spass,1,3,1,3,1,207660,0.0,0.0,0.0,0.0,0,1138826
LAT\LAT271-2.spass,1,7,3,7,3,807891,0.0,0.0,0.0,0.0,0,2338188
SYN\SYN678-1.spass,1,14,7,14,7,3826659,0.0,0.0,0.0,0.0,0,4381763
SWV\SWV364-2.spass,1,9,4,9,4,1465725,0.0,0.0,0.0,0.0,0,3966077
SWV\SWV293-2.spass,1,20,11,20,11,62578904,0.0,0.0,0.0,0.0,0,10928910
SYN\SYN730+1.spass,1,4,2,4,2,585556,0.0,0.0,0.0,0.0,0,1560382
SWV\SWV265-2.spass,1,5,2,5,2,840911,0.0,0.0,0.0,0.0,0,1379872
SYN\SYN333-1.spass,1,9,6,9,6,2740666,0.0,0.0,0.0,0.0,0,4903848
MGT\MGT036-2.spass,1,26,15,26,15,7034743,0.0,0.0,0.0,0.0,0,10636865
SWV\SWV263-2.spass,1,9,4,9,4,966387,0.0,0.0,0.0,0.0,0,2395056
MGT\MGT007-1.spass,1,49,27,49,27,75795004,0.0,0.0,0.0,0.0,0,50167394
SWB\SWB019+2.spass,1,7,3,7,3,1021053,0.0,0.0,0.0,0.0,0,2217114
SYN\SYN660-1.spass,1,14,7,14,7,3694579,0.0,0.0,0.0,0.0,0,4806255
SWV\SWV292-2.spass,1,34,18,34,18,67789838,0.0,0.0,0.0,0.0,0,20718994
SET\SET055-6.spass,1,9,3,9,3,1076821,0.0,0.0,0.0,0.0,0,2446420
SWV\SWV264-2.spass,1,5,2,5,2,737081,0.0,0.0,0.0,0.0,0,1513787
COL\COL124-2.spass,1,6,2,6,2,746987,0.0,0.0,0.0,0.0,0,2854035
COL\COL122-2.spass,1,5,2,5,2,617108,0.0,0.0,0.0,0.0,0,1557447
TOP\TOP004-2.spass,1,3,1,3,1,294612,0.0,0.0,0.0,0.0,0,688652
SYN\SYN589-1.spass,1,7,3,7,3,1839952,0.0,0.0,0.0,0.0,0,4311320
SWV\SWV290-2.spass,1,21,11,21,11,98089789,0.0,0.0,0.0,0.0,0,11626734
PUZ\PUZ008-3.spass,1,49,31,49,31,22893549,0.0,0.0,0.0,0.0,0,138373542
SYN\SYN719-1.spass,1,17,8,17,8,5451613,0.0,0.0,0.0,0.0,0,8071206
SWV\SWV349-2.spass,1,3,1,3,1,921627,0.0,0.0,0.0,0.0,0,1740892
SYN\SYN731-1.spass,1,3,1,3,1,323597,0.0,0.0,0.0,0.0,0,1279345
SWV\SWV333-2.spass,1,3,1,3,1,456778,0.0,0.0,0.0,0.0,0,1632659
SWV\SWV305-2.spass,1,30,16,30,16,102359284,0.0,0.0,0.0,0.0,0,26335340
SET\SET826-2.spass,1,7,3,7,3,1132956,0.0,0.0,0.0,0.0,0,2072193
PLA\PLA003-1.spass,1,15,7,15,7,3469675,0.0,0.0,0.0,0.0,0,7571136
SYN\SYN687-1.spass,1,14,6,14,6,6706376,0.0,0.0,0.0,0.0,0,14977170
SYN\SYN685-1.spass,1,14,7,14,7,6843593,0.0,0.0,0.0,0.0,0,4703159
LCL\LCL447-2.spass,1,7,3,7,3,2123557,0.0,0.0,0.0,0.0,0,4645924
LCL\LCL432-2.spass,1,5,2,5,2,786612,0.0,0.0,0.0,0.0,0,1364096
SWV\SWV289-2.spass,1,18,8,18,8,58070564,0.0,0.0,0.0,0.0,0,17425058
SWV\SWV287-2.spass,1,18,8,18,8,7156550,0.0,0.0,0.0,0.0,0,20018235
SYN\SYN084-2.spass,1,40,22,40,22,10632463,0.0,0.0,0.0,0.0,0,19251802
SWV\SWV246-2.spass,1,19,11,19,11,59386964,0.0,0.0,0.0,0.0,0,7561963
COL\COL119-2.spass,1,5,2,5,2,976294,0.0,0.0,0.0,0.0,0,3077471
SWV\SWV259-2.spass,1,9,4,9,4,1856095,0.0,0.0,0.0,0.0,0,4433862
SWV\SWV244-2.spass,1,13,7,13,7,3660091,0.0,0.0,0.0,0.0,0,5704768
SYN\SYN312-1.spass,1,21,13,21,13,11175827,0.0,0.0,0.0,0.0,0,10134226
COL\COL104-2.spass,1,11,5,11,5,3714024,0.0,0.0,0.0,0.0,0,7638643
SYN\SYN340-1.spass,1,3,1,3,1,349279,0.0,0.0,0.0,0.0,0,1026924
SYN\SYN684-1.spass,1,14,7,14,7,4565941,0.0,0.0,0.0,0.0,0,4849548
SYN\SYN682-1.spass,1,14,7,14,7,5448679,0.0,0.0,0.0,0.0,0,6328847
SET\SET589+3.spass,1,11,5,11,5,1478933,0.0,0.0,0.0,0.0,0,2996388
CAT\CAT007-3.spass,1,7,3,7,3,726442,0.0,0.0,0.0,0.0,0,2357266
SYN\SYN341-1.spass,1,3,1,3,1,269664,0.0,0.0,0.0,0.0,0,761663
SWV\SWV286-2.spass,1,16,7,16,7,51056000,0.0,0.0,0.0,0.0,0,12043521
SWV\SWV271-2.spass,1,18,9,18,9,7121696,0.0,0.0,0.0,0.0,0,10953492
SWV\SWV299-2.spass,1,23,15,23,15,139405969,0.0,0.0,0.0,0.0,0,23753538
COL\COL118-2.spass,1,9,4,9,4,3813818,0.0,0.0,0.0,0.0,0,11863378
SWV\SWV284-2.spass,1,12,6,12,6,4040923,0.0,0.0,0.0,0.0,0,9181414
GEO\GEO002-4.spass,1,23,14,23,14,16175065,0.0,0.0,0.0,0.0,0,23012788
COL\COL103-2.spass,1,3,1,3,1,514013,0.0,0.0,0.0,0.0,0,2095674
SYN\SYN555-1.spass,1,11,5,11,5,71468641,0.0,0.0,0.0,0.0,0,7782097
GRP\GRP012+5.spass,1,21,13,21,13,45966874,0.0,0.0,0.0,0.0,0,22359358
GRP\GRP031-2.spass,1,12,7,12,7,6750403,0.0,0.0,0.0,0.0,0,11160417
SWV\SWV328-2.spass,1,16,8,17,7,11973078,-0.0625,-8.352071205081934E-8,0.0625,8.352071205081934E-8,1,18106739
SYN\SYN582-1.spass,1,15,7,15,7,5329806,0.0,0.0,0.0,0.0,0,11386788
MGT\MGT036+2.spass,1,36,23,36,22,27597808,0.0,0.0,0.027777777777777776,3.623476183325864E-8,0,27768779
RNG\RNG039-2.spass,1,36,20,36,20,11249204,0.0,0.0,0.0,0.0,0,25140749
SYN\SYN710-1.spass,1,16,7,16,7,9294050,0.0,0.0,0.0,0.0,0,12428021
SEU\SEU163+3.spass,1,5,2,5,2,554371,0.0,0.0,0.0,0.0,0,1663478
SEU\SEU163+1.spass,1,5,2,5,2,645360,0.0,0.0,0.0,0.0,0,1612480
SWV\SWV312-2.spass,1,5,2,5,2,2337821,0.0,0.0,0.0,0.0,0,5148562
