proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,totalTime
\SWV\SWV263-2.spass,0,9,4,9,4,141323,0.0,0.0,0.0,0.0,0,1912602
\PUZ\PUZ047+1.spass,0,16,8,16,8,508448,0.0,0.0,0.0,0.0,0,3408340
\SYN\SYN031-1.spass,0,8,4,8,4,196590,0.0,0.0,0.0,0.0,0,1983264
\MGT\MGT018-1.spass,1,40,21,40,20,269290044,0.0,0.0,0.025,3.713468144407151E-9,0,121161078
\MGT\MGT016-1.spass,1,40,21,40,20,233110874,0.0,0.0,0.025,4.289804172756008E-9,0,112048880
\SYN\SYN671-1.spass,0,14,7,14,7,445286,0.0,0.0,0.0,0.0,0,5567666
\SYN\SYN630-1.spass,0,11,5,11,5,330412,0.0,0.0,0.0,0.0,0,4300493
\CSR\CSR050+1.spass,0,26,14,26,14,526212,0.0,0.0,0.0,0.0,0,5283835
\PUZ\PUZ035-6.spass,0,9,6,9,6,241198,0.0,0.0,0.0,0.0,0,2330651
\SYN\SYN587-1.spass,0,16,8,16,8,444103,0.0,0.0,0.0,0.0,0,4438658
\COL\COL120-2.spass,0,5,2,5,2,122375,0.0,0.0,0.0,0.0,0,1373758
\SYN\SYN570-1.spass,0,22,11,22,11,1463763,0.0,0.0,0.0,0.0,0,4379445
\SYN\SYN717-1.spass,1,16,8,16,7,4692882,0.0,0.0,0.0625,2.1308867344203414E-7,0,3954290
\PUZ\PUZ047-1.spass,0,16,8,16,8,681746,0.0,0.0,0.0,0.0,0,9100354
\SET\SET590+3.spass,0,8,3,8,3,187904,0.0,0.0,0.0,0.0,0,2415129
\SYN\SYN082+1.spass,0,9,4,9,4,178036,0.0,0.0,0.0,0.0,0,1674958
\SYN\SYN571-1.spass,0,16,8,16,8,2481054,0.0,0.0,0.0,0.0,0,4399972
\GRP\GRP001+6.spass,0,26,16,26,16,2370916,0.0,0.0,0.0,0.0,0,31671428
\SYN\SYN727-1.spass,0,5,2,5,2,121980,0.0,0.0,0.0,0.0,0,1489816
\SYN\SYN656-1.spass,0,19,10,19,10,1064267,0.0,0.0,0.0,0.0,0,6716017
\CSR\CSR035+1.spass,0,5,2,5,2,120796,0.0,0.0,0.0,0.0,0,1836808
\SYN\SYN613-1.spass,0,20,11,20,11,714512,0.0,0.0,0.0,0.0,0,6104142
\SYN\SYN626-1.spass,0,16,8,16,8,421207,0.0,0.0,0.0,0.0,0,3890340
\TOP\TOP022+1.spass,0,13,6,13,6,238038,0.0,0.0,0.0,0.0,0,3767964
\SET\SET835-2.spass,0,7,3,7,3,148429,0.0,0.0,0.0,0.0,0,2013266
\SWV\SWV258-2.spass,0,11,5,11,5,253829,0.0,0.0,0.0,0.0,0,2702512
\SYN\SYN014-2.spass,0,10,5,10,5,198958,0.0,0.0,0.0,0.0,0,1790228
\SET\SET631+3.spass,1,12,6,12,5,1690748,0.0,0.0,0.08333333333333333,5.914541966041066E-7,0,2753042
\SYN\SYN655-1.spass,0,17,9,17,9,2635404,0.0,0.0,0.0,0.0,0,22371327
\SYN\SYN668-1.spass,0,14,7,14,7,409364,0.0,0.0,0.0,0.0,0,3363337
\SYN\SYN653-1.spass,0,18,9,18,9,5218700,0.0,0.0,0.0,0.0,0,10952164
\SWV\SWV341-2.spass,0,7,3,7,3,135007,0.0,0.0,0.0,0.0,0,1578637
\SYN\SYN340-1.spass,0,3,1,3,1,108164,0.0,0.0,0.0,0.0,0,701090
\TOP\TOP021+1.spass,0,9,4,9,4,203695,0.0,0.0,0.0,0.0,0,2768437
\SET\SET834-2.spass,0,23,11,23,11,993211,0.0,0.0,0.0,0.0,0,8029771
