length,numCompressed,numNotCompressed,total,binDescription
0,1,32,33,90-165
1,2,46,48,166-196
2,7,62,69,197-221
3,6,126,132,222-246
4,11,146,157,247-270
5,19,233,252,271-294
6,33,232,265,295-318
7,32,290,322,319-342
8,29,240,269,343-366
9,30,206,236,367-390
10,22,154,176,391-414
11,22,108,130,415-438
12,16,80,96,439-464
13,6,53,59,465-488
14,9,36,45,489-523
15,12,19,31,524-699
