length,numCompressed,numNotCompressed,total,binDescription
0,18,15,33,90-165
1,33,15,48,166-196
2,37,32,69,197-221
3,67,65,132,222-246
4,71,86,157,247-270
5,111,141,252,271-294
6,97,168,265,295-318
7,126,196,322,319-342
8,77,192,269,343-366
9,69,167,236,367-390
10,44,132,176,391-414
11,33,97,130,415-438
12,26,70,96,439-464
13,12,47,59,465-488
14,4,41,45,489-523
15,9,22,31,524-699
