proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,totalTime
\MGT\MGT006-1.spass,0,45,26,45,26,882240203,0.0,0.0,0.0,0.0,0,966603887
\LCL\LCL440-2.spass,0,3,1,3,1,163825,0.0,0.0,0.0,0.0,0,1337045
\SWV\SWV293-2.spass,1,20,11,22,10,6083218,-0.1,-3.287733564702103E-7,0.05,1.6438667823510516E-7,2,9926974
\SYN\SYN562-1.spass,1,12,6,13,5,2203933,-0.08333333333333333,-4.537343013603408E-7,0.08333333333333333,4.537343013603408E-7,1,4945131
\COL\COL110-2.spass,0,18,8,18,8,6460606,0.0,0.0,0.0,0.0,0,12710806
\COL\COL123-2.spass,0,19,8,19,8,2830808,0.0,0.0,0.0,0.0,0,18506245
\COM\COM001-1.spass,0,13,6,13,6,780436,0.0,0.0,0.0,0.0,0,3275305
\SEU\SEU158+3.spass,0,9,3,9,3,315016,0.0,0.0,0.0,0.0,0,2628692
\SWV\SWV309-2.spass,0,5,2,5,2,390810,0.0,0.0,0.0,0.0,0,2423418
\ANA\ANA041-2.spass,0,3,1,3,1,125927,0.0,0.0,0.0,0.0,0,676220
\SYN\SYN561-1.spass,0,20,12,24,12,30457536,-0.25,-1.6416298416260593E-7,0.0,0.0,4,7895945
\SET\SET828-2.spass,0,7,3,7,3,355282,0.0,0.0,0.0,0.0,0,2606981
\MSC\MSC005-1.spass,0,14,6,14,6,1962736,0.0,0.0,0.0,0.0,0,6944973
\MSC\MSC003-1.spass,1,15,7,16,6,4999607,-0.06666666666666667,-2.0001572123568912E-7,0.06666666666666667,2.0001572123568912E-7,2,4686959
\SYN\SYN006-1.spass,0,13,6,13,6,1258882,0.0,0.0,0.0,0.0,0,6290465
\SYN\SYN648-1.spass,0,15,7,15,7,3117402,0.0,0.0,0.0,0.0,0,18357815
\SWV\SWV336-2.spass,0,3,1,3,1,242381,0.0,0.0,0.0,0.0,0,1428233
\SWV\SWV334-2.spass,0,3,1,3,1,159087,0.0,0.0,0.0,0.0,0,1846677
\SYN\SYN618-1.spass,0,23,12,24,12,3623482,-0.043478260869565216,-2.759776369801202E-7,0.0,0.0,1,9863418
\SET\SET827-2.spass,0,7,3,7,3,299227,0.0,0.0,0.0,0.0,0,1557319
\SET\SET009+3.spass,0,25,13,25,13,3900997,0.0,0.0,0.0,0.0,0,13749413
\LCL\LCL437-2.spass,0,5,2,5,2,641877,0.0,0.0,0.0,0.0,0,2466051
\SWV\SWV333-2.spass,0,3,1,3,1,373441,0.0,0.0,0.0,0.0,0,1478368
\SET\SET055-6.spass,0,9,3,9,3,241592,0.0,0.0,0.0,0.0,0,2047214
\SYN\SYN589-1.spass,0,7,3,7,3,808859,0.0,0.0,0.0,0.0,0,3023055
\LCL\LCL435-2.spass,0,5,2,5,2,539634,0.0,0.0,0.0,0.0,0,2918839
\SYN\SYN559-1.spass,0,20,12,24,12,41467725,-0.25,-1.205757007407568E-7,0.0,0.0,4,10802152
\TOP\TOP002-2.spass,0,5,2,5,2,168167,0.0,0.0,0.0,0.0,0,1702590
\SYN\SYN073-1.spass,0,4,2,4,2,2585663,0.0,0.0,0.0,0.0,0,940313
\SWV\SWV273-2.spass,0,11,5,11,5,1264410,0.0,0.0,0.0,0.0,0,5175274
\SWV\SWV288-2.spass,0,17,8,17,8,3040030,0.0,0.0,0.0,0.0,0,12490136
\COL\COL105-2.spass,0,5,2,5,2,487526,0.0,0.0,0.0,0.0,0,2416312
