proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,totalTime
\SYN\SYN589-1.spass,0,7,3,7,3,145666,0.0,0.0,0.0,0.0,0,4348256
\LCL\LCL435-2.spass,0,5,2,5,2,74215,0.0,0.0,0.0,0.0,0,1715222
\SYN\SYN559-1.spass,0,20,12,24,12,17739625,-0.25,-2.818548870114222E-7,0.0,0.0,4,6307834
\TOP\TOP002-2.spass,0,5,2,5,2,42634,0.0,0.0,0.0,0.0,0,1217038
\SYN\SYN073-1.spass,0,4,2,4,2,2301833,0.0,0.0,0.0,0.0,0,1287305
\SWV\SWV273-2.spass,0,11,5,11,5,109743,0.0,0.0,0.0,0.0,0,3514529
\SWV\SWV288-2.spass,0,17,8,17,8,156719,0.0,0.0,0.0,0.0,0,6300729
\COL\COL105-2.spass,0,5,2,5,2,42239,0.0,0.0,0.0,0.0,0,1745619
\SWV\SWV245-2.spass,1,19,11,20,10,3096875,-0.05263157894736842,-3.229061553985873E-7,0.05263157894736842,3.229061553985873E-7,1,7263543
\MGT\MGT017-1.spass,1,42,23,38,18,1829647414,0.09523809523809523,2.186213567375337E-9,0.11904761904761904,2.7327669592191712E-9,2,576242529
\MGT\MGT015-1.spass,1,42,23,38,18,1693339923,0.09523809523809523,2.362195531841837E-9,0.11904761904761904,2.952744414802296E-9,2,367148416
\SYN\SYN670-1.spass,0,14,7,14,7,69872,0.0,0.0,0.0,0.0,0,4128771
\SWB\SWB012+2.spass,1,41,22,41,20,161393953,0.0,0.0,0.04878048780487805,1.2392038009007686E-8,1,118922359
\SYN\SYN586-1.spass,0,14,7,14,7,169746,0.0,0.0,0.0,0.0,0,3891522
\LCL\LCL432-2.spass,0,5,2,5,2,46187,0.0,0.0,0.0,0.0,0,1105322
\TOP\TOP001-2.spass,0,33,16,33,16,195010,0.0,0.0,0.0,0.0,0,15769783
\SWV\SWV272-2.spass,0,18,9,18,9,353308,0.0,0.0,0.0,0.0,0,4803413
\GRP\GRP004-1.spass,1,12,7,13,6,23649938,-0.08333333333333333,-4.228340894593466E-8,0.08333333333333333,4.228340894593466E-8,1,38409931
\COL\COL104-2.spass,0,11,5,11,5,195011,0.0,0.0,0.0,0.0,0,4544846
\SWV\SWV011+1.spass,0,5,2,5,2,29607,0.0,0.0,0.0,0.0,0,1102559
\SEU\SEU167+3.spass,0,11,5,11,5,74215,0.0,0.0,0.0,0.0,0,2584479
\SEU\SEU167+1.spass,0,11,5,11,5,60004,0.0,0.0,0.0,0.0,0,2328676
\SWV\SWV357-2.spass,0,9,4,9,4,69082,0.0,0.0,0.0,0.0,0,3191222
\SWV\SWV329-2.spass,1,20,10,22,9,2698169,-0.1,-7.412434135889932E-7,0.05,3.706217067944966E-7,2,6908656
\SWV\SWV314-2.spass,0,13,6,13,6,116848,0.0,0.0,0.0,0.0,0,5046583
\SYN\SYN581-1.spass,0,18,9,19,9,1522975,-0.05555555555555555,-6.566095963492506E-7,0.0,0.0,1,4081006
\GEO\GEO002-4.spass,0,23,14,23,14,26296000,0.0,0.0,0.0,0.0,0,15917028
\MGT\MGT036+1.spass,1,34,21,39,14,7745148,-0.14705882352941177,-6.45565455947388E-7,0.20588235294117646,9.037916383263431E-7,8,12909763
\SWV\SWV358-2.spass,0,15,8,15,8,93558,0.0,0.0,0.0,0.0,0,6030320
\SWV\SWV356-2.spass,0,7,3,7,3,42634,0.0,0.0,0.0,0.0,0,1487053
\SWV\SWV315-2.spass,0,24,10,24,10,159088,0.0,0.0,0.0,0.0,0,7183407
\SWV\SWV300-2.spass,1,29,15,31,14,3271357,-0.06896551724137931,-6.11367087114002E-7,0.034482758620689655,3.05683543557001E-7,2,8607299
\SWV\SWV328-2.spass,1,16,8,17,7,1531660,-0.0625,-6.528864108222451E-7,0.0625,6.528864108222451E-7,1,6079664
\SWV\SWV313-2.spass,0,15,7,15,7,126718,0.0,0.0,0.0,0.0,0,4873679
\SET\SET819-2.spass,0,3,1,3,1,31185,0.0,0.0,0.0,0.0,0,922943
\SYN\SYN710-1.spass,0,16,7,16,7,101848,0.0,0.0,0.0,0.0,0,4683801
\SET\SET915+1.spass,0,5,2,5,2,30001,0.0,0.0,0.0,0.0,0,793068
\CSR\CSR072+1.spass,0,3,1,3,1,14212,0.0,0.0,0.0,0.0,0,468182
\LCL\LCL442-2.spass,0,32,16,32,16,267251,0.0,0.0,0.0,0.0,0,15517928
\SYN\SYN622-1.spass,0,14,7,14,7,194221,0.0,0.0,0.0,0.0,0,11251386
\SWV\SWV299-2.spass,0,23,15,23,15,226986,0.0,0.0,0.0,0.0,0,10230937
\SYN\SYN352-1.spass,0,17,8,17,8,140534,0.0,0.0,0.0,0.0,0,11418368
\ANA\ANA003-4.spass,0,29,12,29,12,298437,0.0,0.0,0.0,0.0,0,10143696
\SYN\SYN568-1.spass,0,13,6,13,6,83294,0.0,0.0,0.0,0.0,0,3198327
\SWV\SWV269-2.spass,0,5,2,5,2,36713,0.0,0.0,0.0,0.0,0,928470
\COL\COL114-2.spass,0,5,2,5,2,48555,0.0,0.0,0.0,0.0,0,1309411
\SYN\SYN065-1.spass,0,7,3,7,3,58424,0.0,0.0,0.0,0.0,0,1200853
\MGT\MGT009-1.spass,0,37,19,37,19,1369648416,0.0,0.0,0.0,0.0,0,175753661
\GRP\GRP028-3.spass,0,8,4,8,4,997552,0.0,0.0,0.0,0.0,0,12287231
\LCL\LCL441-2.spass,0,7,4,7,4,118033,0.0,0.0,0.0,0.0,0,3821650
\COL\COL113-2.spass,0,3,1,3,1,20922,0.0,0.0,0.0,0.0,0,692405
\SWV\SWV266-2.spass,0,5,2,5,2,26449,0.0,0.0,0.0,0.0,0,866494
\COL\COL111-2.spass,0,5,2,5,2,35528,0.0,0.0,0.0,0.0,0,1163746
\SET\SET786-1.spass,1,11,5,10,4,1734171,0.09090909090909091,5.76644402426289E-7,0.09090909090909091,5.76644402426289E-7,0,3135956
\COM\COM002-1.spass,0,19,10,19,10,62372,0.0,0.0,0.0,0.0,0,3628613
\ANA\ANA042-2.spass,0,3,1,3,1,39476,0.0,0.0,0.0,0.0,0,847150
\MSC\MSC004-1.spass,1,20,10,21,9,2448682,-0.05,-4.083829586691943E-7,0.05,4.083829586691943E-7,2,6659563
\SWV\SWV009-1.spass,1,21,13,19,10,1578637,0.09523809523809523,1.2669157000627756E-6,0.14285714285714285,1.9003735500941634E-6,0,3635324
\SYN\SYN370+1.spass,0,4,2,4,2,414496,0.0,0.0,0.0,0.0,0,1314544
\SWV\SWV337-2.spass,1,23,13,23,12,3614797,0.0,0.0,0.043478260869565216,2.7664070762479886E-7,0,10317390
\SEU\SEU158+1.spass,0,9,3,9,3,62371,0.0,0.0,0.0,0.0,0,1591269
\SWV\SWV335-2.spass,1,18,9,19,8,1654825,-0.05555555555555555,-6.042935053555512E-7,0.05555555555555555,6.042935053555512E-7,1,6774833
\SYN\SYN619-1.spass,1,24,12,24,11,3251620,0.0,0.0,0.041666666666666664,3.075390113235864E-7,1,10806099
\SWV\SWV279-2.spass,0,19,11,19,11,557793,0.0,0.0,0.0,0.0,0,11544296
\COL\COL109-2.spass,0,14,7,14,7,139349,0.0,0.0,0.0,0.0,0,15788731
\SYN\SYN034-1.spass,1,11,5,10,4,1744435,0.09090909090909091,5.732515112342965E-7,0.09090909090909091,5.732515112342965E-7,0,4219172
\SYN\SYN676-1.spass,0,14,7,14,7,69082,0.0,0.0,0.0,0.0,0,3258726
\SYN\SYN661-1.spass,0,14,7,14,7,68687,0.0,0.0,0.0,0.0,0,3158457
\SYN\SYN674-1.spass,0,14,7,14,7,68293,0.0,0.0,0.0,0.0,0,3283200
\PUZ\PUZ035-7.spass,1,28,19,30,16,9095219,-0.07142857142857142,-2.1989574962406072E-7,0.10714285714285714,3.298436244360911E-7,3,11505215
\SET\SET055-7.spass,0,6,2,6,2,31186,0.0,0.0,0.0,0.0,0,1045714
