length,numCompressed,numNotCompressed,total
3,0,26,26
4,0,5,5
5,0,34,34
6,0,3,3
7,0,26,26
8,1,4,5
9,0,18,18
10,0,2,2
11,0,12,12
12,0,12,12
13,0,12,12
14,1,31,32
15,0,13,13
16,1,10,11
17,0,9,9
18,1,11,12
19,0,8,8
20,0,7,7
21,0,6,6
22,0,3,3
23,0,9,9
24,0,5,5
25,0,2,2
26,0,5,5
27,0,1,1
28,0,1,1
29,0,2,2
30,0,1,1
31,2,2,4
32,0,2,2
33,0,1,1
34,0,2,2
36,1,1,2
37,0,3,3
38,0,1,1
40,2,2,4
41,0,1,1
42,2,0,2
45,0,1,1
47,0,1,1
49,0,2,2
