length,numCompressed,numNotCompressed,total
3,0,26,26
4,1,4,5
5,0,34,34
6,0,3,3
7,0,26,26
8,1,4,5
9,2,16,18
10,0,2,2
11,3,9,12
12,6,6,12
13,0,12,12
14,1,31,32
15,2,11,13
16,4,7,11
17,0,9,9
18,2,10,12
19,3,5,8
20,3,4,7
21,3,3,6
22,1,2,3
23,2,7,9
24,2,3,5
25,0,2,2
26,2,3,5
27,0,1,1
28,1,0,1
29,1,1,2
30,1,0,1
31,3,1,4
32,0,2,2
33,0,1,1
34,2,0,2
36,1,1,2
37,1,2,3
38,1,0,1
40,2,2,4
41,1,0,1
42,2,0,2
45,0,1,1
47,0,1,1
49,1,1,2
