proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,totalTime
\SYN\SYN670-1.spass,0,14,7,14,7,1315728,0.0,0.0,0.0,0.0,0,4875653
\SWB\SWB012+2.spass,0,41,22,41,22,163005354,0.0,0.0,0.0,0.0,0,127361095
\SYN\SYN586-1.spass,0,14,7,14,7,1636665,0.0,0.0,0.0,0.0,0,3851257
\LCL\LCL432-2.spass,0,5,2,5,2,190669,0.0,0.0,0.0,0.0,0,1691537
\TOP\TOP001-2.spass,0,33,16,33,16,4791175,0.0,0.0,0.0,0.0,0,14037192
\SWV\SWV272-2.spass,0,18,9,18,9,2142745,0.0,0.0,0.0,0.0,0,8195961
\GRP\GRP004-1.spass,0,12,7,12,7,28992195,0.0,0.0,0.0,0.0,0,39668814
\COL\COL104-2.spass,0,11,5,11,5,811227,0.0,0.0,0.0,0.0,0,8724542
\SWV\SWV011+1.spass,0,5,2,5,2,123165,0.0,0.0,0.0,0.0,0,911495
\SEU\SEU167+3.spass,0,11,5,11,5,434628,0.0,0.0,0.0,0.0,0,2574215
\SEU\SEU167+1.spass,0,11,5,11,5,751224,0.0,0.0,0.0,0.0,0,3168326
\SWV\SWV357-2.spass,0,9,4,9,4,386073,0.0,0.0,0.0,0.0,0,3632166
\SWV\SWV329-2.spass,0,20,10,20,10,3716250,0.0,0.0,0.0,0.0,0,6425472
\SWV\SWV314-2.spass,0,13,6,13,6,977026,0.0,0.0,0.0,0.0,0,6574296
\SYN\SYN581-1.spass,0,18,9,18,9,3838625,0.0,0.0,0.0,0.0,0,4011923
\GEO\GEO002-4.spass,0,23,14,23,14,22110778,0.0,0.0,0.0,0.0,0,17826471
\MGT\MGT036+1.spass,0,34,21,34,21,9680645,0.0,0.0,0.0,0.0,0,12963846
\SWV\SWV358-2.spass,0,15,8,15,8,1502053,0.0,0.0,0.0,0.0,0,3999291
\SWV\SWV356-2.spass,0,7,3,7,3,273172,0.0,0.0,0.0,0.0,0,1695090
\SWV\SWV315-2.spass,0,24,10,24,10,1509159,0.0,0.0,0.0,0.0,0,7017609
\SWV\SWV300-2.spass,0,29,15,29,15,5371864,0.0,0.0,0.0,0.0,0,9720121
\SWV\SWV328-2.spass,1,16,8,17,7,3951130,-0.0625,-2.5309215338396864E-7,0.0625,2.5309215338396864E-7,1,5160668
\SWV\SWV313-2.spass,0,15,7,15,7,2316438,0.0,0.0,0.0,0.0,0,9258649
\SET\SET819-2.spass,0,3,1,3,1,108164,0.0,0.0,0.0,0.0,0,983341
