proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,compressedNoSub,cumulativeLength,cumulativeLengthCompressed
SWV\SWV356-2.spass,1,7,3,7,3,57603,0,0,0,0,0,7,321,317
SWV\SWV341-2.spass,1,7,3,7,3,61272,0,0,0,0,0,7,328,324
SET\SET833-2.spass,1,7,3,7,3,52466,0,0,0,0,0,7,335,331
SWV\SWV267-2.spass,1,7,3,7,3,105300,0,0,0,0,0,7,342,338
LCL\LCL441-2.spass,1,7,4,7,4,228210,0,0,0,0,0,7,349,345
SET\SET829-2.spass,1,7,3,7,3,59804,0,0,0,0,0,7,356,352
SET\SET828-2.spass,1,7,3,7,3,59071,0,0,0,0,0,7,363,359
SET\SET832-2.spass,1,7,3,7,3,51366,0,0,0,0,0,7,370,366
SET\SET899+1.spass,1,7,3,7,3,47697,0,0,0,0,0,7,377,373
SET\SET859-2.spass,1,7,3,7,3,62372,0,0,0,0,0,7,384,380
SWV\SWV320-2.spass,1,7,3,7,3,61638,0,0,0,0,0,7,391,387
SYN\SYN588-1.spass,1,7,3,7,3,162168,0,0,0,0,0,7,398,394
SET\SET836-2.spass,1,7,3,7,3,57603,0,0,0,0,0,7,405,401
SET\SET835-2.spass,1,7,3,7,3,48431,0,0,0,0,0,7,412,408
SYN\SYN079+1.spass,1,7,3,7,3,53567,0,0,0,0,0,7,419,415
LAT\LAT272-2.spass,1,7,3,7,3,63473,0,0,0,0,0,7,426,422
LAT\LAT271-2.spass,1,7,3,7,3,72645,0,0,0,0,0,7,433,429
SWB\SWB019+2.spass,1,7,3,7,3,51733,0,0,0,0,0,7,440,436
SYN\SYN589-1.spass,1,7,3,7,3,94659,0,0,0,0,0,7,447,443
SET\SET826-2.spass,1,7,3,7,3,52467,0,0,0,0,0,7,454,450
LCL\LCL447-2.spass,1,7,3,7,3,74480,0,0,0,0,0,7,461,457
CAT\CAT007-3.spass,1,7,3,7,3,40359,0,0,0,0,0,7,468,464
GRP\GRP028-3.spass,0,8,4,-1,-1,-1,-1,-1,-1,-1,-1,0,476,464
GRP\GRP028-4.spass,0,8,4,-1,-1,-1,-1,-1,-1,-1,-1,0,484,464
SYN\SYN066-1.spass,1,8,4,8,4,6589848,0,0,0,0,0,8,492,472
SYN\SYN031-1.spass,1,8,4,9,3,2461517,-0.125,-4.06E-07,0.125,4.06E-07,1,8,500,480
SET\SET590+3.spass,1,8,3,8,3,71545,0,0,0,0,0,8,508,488
KRS\KRS017-1.spass,1,9,4,10,3,25204399,-0.111111111,-3.97E-08,0.111111111,3.97E-08,2,8,517,496
SET\SET846-2.spass,1,9,4,9,4,2198083,0,0,0,0,0,9,526,505
LAT\LAT270-2.spass,1,9,4,9,4,916877,0,0,0,0,0,9,535,514
SEU\SEU158+3.spass,1,9,3,9,3,257562,0,0,0,0,0,9,544,523
SEU\SEU158+1.spass,1,9,3,9,3,73746,0,0,0,0,0,9,553,532
PUZ\PUZ035-6.spass,1,9,6,9,6,556584,0,0,0,0,0,9,562,541
PUZ\PUZ035-5.spass,1,9,6,9,6,288015,0,0,0,0,0,9,571,550
SYN\SYN082+1.spass,1,9,4,11,3,1750469,-0.222222222,-1.14E-06,0.111111111,5.71E-07,2,9,580,559
