proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,compressedNoSub,cumulativeLength,cumulativeLengthCompressed
SWV\SWV305-2.spass,1,30,16,40,15,193228831,-0.333333333,-5.18E-08,0.033333333,5.18E-09,13,27,3444,3298
MGT\MGT003-1.spass,0,31,17,-1,-1,-1,-1,-1,-1,-1,-1,0,3475,3298
MGT\MGT002-1.spass,0,31,17,-1,-1,-1,-1,-1,-1,-1,-1,0,3506,3298
SYN\SYN569-1.spass,1,31,20,43,18,24599018,-0.387096774,-4.88E-07,0.064516129,8.13E-08,13,30,3537,3328
ANA\ANA004-4.spass,1,31,13,31,13,273339,0,0,0,0,0,31,3568,3359
SYN\SYN566-1.spass,0,32,18,-1,-1,-1,-1,-1,-1,-1,-1,0,3600,3359
LCL\LCL442-2.spass,1,32,16,32,16,350387,0,0,0,0,0,32,3632,3391
TOP\TOP001-2.spass,1,33,16,33,16,296087,0,0,0,0,0,33,3665,3424
MGT\MGT036+1.spass,1,34,21,45,14,49418541,-0.323529412,-2.23E-07,0.205882353,1.42E-07,18,27,3699,3451
SWV\SWV292-2.spass,1,34,18,47,16,127213310,-0.382352941,-1.02E-07,0.058823529,1.57E-08,14,33,3733,3484
MGT\MGT036+2.spass,1,36,23,54,17,19928410,-0.5,-9.03E-07,0.166666667,3.01E-07,23,31,3769,3515
RNG\RNG039-2.spass,1,36,20,53,19,98149515,-0.472222222,-1.73E-07,0.027777778,1.02E-08,17,36,3805,3551
MGT\MGT009-1.spass,0,37,19,-1,-1,-1,-1,-1,-1,-1,-1,0,3842,3551
MGT\MGT008-1.spass,1,37,20,48,16,89568514,-0.297297297,-1.23E-07,0.108108108,4.47E-08,14,34,3879,3585
SWV\SWV323-2.spass,1,37,17,37,17,312963,0,0,0,0,0,37,3916,3622
SWV\SWV247-2.spass,1,38,26,56,23,41004111,-0.473684211,-4.39E-07,0.078947368,7.32E-08,19,37,3954,3659
SYN\SYN084-2.spass,1,40,22,46,19,8971747,-0.15,-6.69E-07,0.075,3.34E-07,16,30,3994,3689
MGT\MGT018-1.spass,1,40,21,48,17,92947641,-0.2,-8.61E-08,0.1,4.30E-08,13,35,4034,3724
MGT\MGT016-1.spass,1,40,21,48,17,54577855,-0.2,-1.47E-07,0.1,7.33E-08,13,35,4074,3759
SWV\SWV308-2.spass,1,40,21,53,20,101112947,-0.325,-1.29E-07,0.025,9.89E-09,15,38,4114,3797
SWB\SWB012+2.spass,1,41,22,54,20,21353808,-0.317073171,-6.09E-07,0.048780488,9.37E-08,14,40,4155,3837
MGT\MGT015-1.spass,0,42,23,-1,-1,-1,-1,-1,-1,-1,-1,0,4197,3837
MGT\MGT017-1.spass,0,42,23,-1,-1,-1,-1,-1,-1,-1,-1,0,4239,3837
MGT\MGT006-1.spass,0,45,26,-1,-1,-1,-1,-1,-1,-1,-1,0,4284,3837
MGT\MGT004-1.spass,0,47,29,-1,-1,-1,-1,-1,-1,-1,-1,0,4331,3837
MGT\MGT007-1.spass,1,49,27,57,23,145694677,-0.163265306,-5.49E-08,0.081632653,2.75E-08,14,43,4380,3880
PUZ\PUZ008-3.spass,1,49,31,49,31,1321565,0,0,0,0,0,49,4429,3929
