length,numCompressed,numNotCompressed,total
3,0,26,26
4,1,3,4
5,0,34,34
6,0,3,3
7,0,26,26
8,1,2,3
9,2,16,18
10,0,2,2
11,3,9,12
12,7,5,12
13,0,12,12
14,3,29,32
15,3,10,13
17,0,9,9
16,4,7,11
19,3,5,8
18,2,10,12
21,3,3,6
20,4,3,7
23,2,6,8
22,1,2,3
25,0,2,2
24,2,3,5
26,2,1,3
29,1,1,2
28,1,0,1
31,1,1,2
30,1,0,1
34,2,0,2
32,0,2,2
33,0,1,1
38,1,0,1
36,2,0,2
37,1,1,2
40,4,0,4
41,1,0,1
49,1,1,2
